lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEPDEB_charged_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000003,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4174999999999998,0.855,54.76000000000001,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36000000000000004,0.36000000000000004,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,21.168533333333333,44.63733333333334,47.06933333333334,49.0,114.33333333333333,191.33333333333334,128.33333333333334,1.0,2.6666666666666665,5.666666666666667,6.666666666666667,7.333333333333333,23.333333333333332,40.666666666666664,39.333333333333336,0.5625,1.5350000000000001,2.7475,2.55,54.76000000000001,213.36666666666667,341.96769,339.6413273333333,0.0,1.1433333333333338,2.5433333333333334,4.783333333333333,0.0,2.3333333333333335,12.333333333333334,28.333333333333332,0.0,0.0,0.0,0.0,0.0,-1.0,1.6666666666666667,5.666666666666667,0.0,-0.04666666666666671,0.5866666666666667,1.5999999999999996,0.0,-9.100000000000001,-4.278516666666667,3.4358566666666683,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000003,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4174999999999998,0.855,54.76000000000001,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36000000000000004,0.36000000000000004,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,21.168533333333333,44.63733333333334,47.06933333333334,49.0,114.33333333333333,191.33333333333334,128.33333333333334,1.0,2.6666666666666665,5.666666666666667,6.666666666666667,7.333333333333333,23.333333333333332,40.666666666666664,39.333333333333336,0.5625,1.5350000000000001,2.7475,2.55,54.76000000000001,213.36666666666667,341.96769,339.6413273333333,0.0,1.1433333333333338,2.5433333333333334,4.783333333333333,0.0,2.3333333333333335,12.333333333333334,28.333333333333332,0.0,0.0,0.0,0.0,0.0,-1.0,1.6666666666666667,5.666666666666667,0.0,-0.04666666666666671,0.5866666666666667,1.5999999999999996,0.0,-9.100000000000001,-4.278516666666667,3.4358566666666683,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,23.256,55.11520000000001,63.384000000000015,49.0,126.0,238.0,168.0,1.0,3.0,7.0,9.0,9.0,30.0,54.0,54.0,0.5625,1.7325,3.4125,3.3974999999999995,54.760000000000005,250.86,427.08522800000003,450.9756840000001,0.0,1.4700000000000006,3.1500000000000004,6.51,0.0,3.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,9.0,0.0,-0.06000000000000005,0.7,2.2199999999999998,0.0,-11.700000000000001,-5.91422,5.657340000000001,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,23.256,55.11520000000001,63.384000000000015,49.0,126.0,238.0,168.0,1.0,3.0,7.0,9.0,9.0,30.0,54.0,54.0,0.5625,1.7325,3.4125,3.397499999999999,54.760000000000005,250.86,427.08522800000003,450.9756840000001,0.0,1.4700000000000006,3.1500000000000004,6.51,0.0,3.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,9.0,0.0,-0.06000000000000005,0.7,2.2199999999999998,0.0,-11.700000000000001,-5.91422,5.6573400000000005,VEPDEB_charged_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEPDEB_charged_primitive
7.87205,7.752,0.0,0.0,42.5,42.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5777,0.5775,0.0,0.0,91.22500000000001,83.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000003,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4174999999999998,0.855,54.76000000000001,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36000000000000004,0.36000000000000004,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,21.168533333333333,44.63733333333334,47.06933333333334,49.0,114.33333333333333,191.33333333333334,128.33333333333334,1.0,2.6666666666666665,5.666666666666667,6.666666666666667,7.333333333333333,23.333333333333332,40.666666666666664,39.333333333333336,0.5625,1.5350000000000001,2.7475,2.55,54.76000000000001,213.36666666666667,341.96769,339.6413273333333,0.0,1.1433333333333338,2.5433333333333334,4.783333333333333,0.0,2.3333333333333335,12.333333333333334,28.333333333333332,0.0,0.0,0.0,0.0,0.0,-1.0,1.6666666666666667,5.666666666666667,0.0,-0.04666666666666671,0.5866666666666667,1.5999999999999996,0.0,-9.100000000000001,-4.278516666666667,3.4358566666666683,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000003,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4174999999999998,0.855,54.76000000000001,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36000000000000004,0.36000000000000004,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,21.168533333333333,44.63733333333334,47.06933333333334,49.0,114.33333333333333,191.33333333333334,128.33333333333334,1.0,2.6666666666666665,5.666666666666667,6.666666666666667,7.333333333333333,23.333333333333332,40.666666666666664,39.333333333333336,0.5625,1.5350000000000001,2.7475,2.55,54.76000000000001,213.36666666666667,341.96769,339.6413273333333,0.0,1.1433333333333338,2.5433333333333334,4.783333333333333,0.0,2.3333333333333335,12.333333333333334,28.333333333333332,0.0,0.0,0.0,0.0,0.0,-1.0,1.6666666666666667,5.666666666666667,0.0,-0.04666666666666671,0.5866666666666667,1.5999999999999996,0.0,-9.100000000000001,-4.278516666666667,3.4358566666666683,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,23.256,55.1152,63.38400000000001,49.0,126.0,238.0,168.0,1.0,3.0,7.0,9.0,9.0,30.0,54.0,54.0,0.5625,1.7325,3.4125,3.3974999999999995,54.760000000000005,250.86,427.08522800000003,450.97568400000006,0.0,1.4700000000000006,3.1500000000000004,6.51,0.0,3.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,9.0,0.0,-0.06000000000000005,0.7,2.2199999999999998,0.0,-11.700000000000001,-5.914220000000001,5.6573400000000005,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,23.256,55.11520000000001,63.384000000000015,49.0,126.0,238.0,168.0,1.0,3.0,7.0,9.0,9.0,30.0,54.0,54.0,0.5625,1.7325,3.4125,3.3974999999999995,54.760000000000005,250.86,427.08522800000003,450.97568400000006,0.0,1.4700000000000006,3.1500000000000004,6.51,0.0,3.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,9.0,0.0,-0.06000000000000005,0.7,2.2199999999999998,0.0,-11.700000000000001,-5.91422,5.6573400000000005,VEPDEB_charged_primitive
9.2416,16.9936,23.681600000000003,14.440000000000001,49.0,91.0,98.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,10.0,0.5625,1.1400000000000001,1.4175,0.855,54.760000000000005,138.38,171.732614,116.97261400000001,0.0,0.4900000000000002,1.33,1.33,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.020000000000000018,0.36,0.36,0.0,-3.9000000000000004,-1.00711,-1.00711,9.2416,23.256,55.11520000000001,63.384000000000015,49.0,126.0,238.0,168.0,1.0,3.0,7.0,9.0,9.0,30.0,54.0,54.0,0.5625,1.7325,3.4125,3.3974999999999995,54.760000000000005,250.86,427.08522800000003,450.9756840000001,0.0,1.4700000000000006,3.1500000000000004,6.51,0.0,3.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,9.0,0.0,-0.06000000000000005,0.7,2.2199999999999998,0.0,-11.700000000000001,-5.91422,5.657340000000001,VEPDEB_charged_primitive
