lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.7968,12.06064,21.585279999999997,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630799999999997,38.758,91.28599999999999,146.184,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.6380000000000003,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.16,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999997,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630800000000002,38.758,91.28599999999999,146.184,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.638,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.160000000000001,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999997,30.555679999999995,58.0,65.2,116.8,134.0,1.0,1.4,2.4,3.6,2.2,5.8,8.8,10.8,0.54474,0.7932600000000001,1.34968,1.73516,38.758,91.28599999999999,146.184,185.8356554,0.0,0.7300000000000002,1.1040000000000003,2.362,0.0,1.6,2.4,9.4,0.0,0.0,0.0,0.0,0.0,-1.6,-2.4,-2.4,0.0,-0.03200000000000003,-0.04800000000000004,0.31199999999999994,0.0,-5.16,-7.92,-7.487110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999994,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630799999999997,38.758,91.28599999999999,146.184,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.6380000000000003,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.16,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.88,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000001,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.880000000000003,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000004,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.880000000000003,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000004,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.880000000000003,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000004,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.58528,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630799999999997,38.757999999999996,91.28599999999999,146.18400000000003,214.53765540000003,0.0,0.7300000000000002,1.1040000000000003,2.638,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.160000000000001,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.58528,30.555680000000002,58.0,65.2,116.8,134.0,1.0,1.4,2.4,3.6,2.2,5.8,8.8,10.8,0.54474,0.7932600000000001,1.34968,1.73516,38.758,91.28599999999999,146.18400000000003,185.8356554,0.0,0.7300000000000002,1.1040000000000003,2.362,0.0,1.6,2.4,9.4,0.0,0.0,0.0,0.0,0.0,-1.6,-2.4,-2.4,0.0,-0.03200000000000003,-0.04800000000000004,0.31199999999999994,0.0,-5.16,-7.920000000000002,-7.487110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.88,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000001,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.58528,33.86048,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630800000000002,38.758,91.28599999999999,146.18400000000003,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.6380000000000003,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.16,-7.920000000000002,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
9.2416,15.504,28.880000000000003,21.128,49.0,84.0,98.0,56.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1324999999999998,54.760000000000005,167.24,233.94522800000004,150.325228,0.0,0.9800000000000004,2.66,2.17,0.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-0.040000000000000036,0.72,0.74,0.0,-7.800000000000001,-2.01422,1.8857800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999997,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630800000000002,38.758,91.28599999999999,146.184,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.6380000000000003,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.16,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999997,33.860479999999995,58.0,65.2,116.8,152.0,1.0,1.4,2.4,4.0,2.2,5.8,9.4,13.6,0.54474,0.7932600000000001,1.34968,1.9630800000000002,38.758,91.28599999999999,146.184,214.5376554,0.0,0.7300000000000002,1.1040000000000003,2.6380000000000003,0.0,1.6,2.4,10.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.8,-3.6,0.0,-0.03200000000000003,-0.04800000000000004,0.29999999999999993,0.0,-5.16,-7.92,-9.467110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
10.7968,12.06064,21.585279999999994,30.555680000000002,58.0,65.2,116.8,134.0,1.0,1.4,2.4,3.6,2.2,5.8,8.8,10.8,0.54474,0.7932600000000001,1.34968,1.73516,38.758,91.28599999999999,146.184,185.8356554,0.0,0.7300000000000002,1.1040000000000003,2.362,0.0,1.6,2.4,9.4,0.0,0.0,0.0,0.0,0.0,-1.6,-2.4,-2.4,0.0,-0.03200000000000003,-0.04800000000000004,0.31199999999999994,0.0,-5.16,-7.92,-7.487110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XALBOC_clean_primitive
