lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.25625,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.950000000000001,-3.5035550000000004,-6.503555,10.1056,16.340533333333333,30.550133333333335,20.288,54.0,88.33333333333333,135.33333333333334,81.0,1.0,2.0,3.6666666666666665,2.6666666666666665,4.666666666666667,13.333333333333334,18.0,12.666666666666666,0.5526333333333333,1.1448666666666667,1.7824999999999998,1.2297333333333333,45.870000000000005,149.71,201.0592806666667,156.89928066666667,0.0,0.9500000000000003,1.626666666666667,1.9233333333333336,0.0,2.0,7.666666666666667,8.333333333333334,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.040000000000000036,0.3466666666666667,0.3333333333333333,0.0,-7.2,-3.0071100000000004,-5.007110000000001,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.2562499999999999,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.95,-3.5035550000000004,-6.503555,9.2416,23.256,47.363200000000006,28.88,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000001,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.25625,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.950000000000001,-3.5035550000000004,-6.503555,10.1056,16.340533333333333,30.550133333333335,20.288,54.0,88.33333333333333,135.33333333333334,81.0,1.0,2.0,3.6666666666666665,2.6666666666666665,4.666666666666667,13.333333333333334,18.0,12.666666666666666,0.5526333333333333,1.1448666666666667,1.7824999999999998,1.2297333333333333,45.870000000000005,149.71,201.0592806666667,156.89928066666667,0.0,0.9500000000000003,1.626666666666667,1.9233333333333336,0.0,2.0,7.666666666666667,8.333333333333334,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.040000000000000036,0.3466666666666667,0.3333333333333333,0.0,-7.2,-3.0071100000000004,-5.007110000000001,RUVBOB_clean_primitive
10.1056,14.253066666666667,22.656266666666667,15.474666666666666,54.0,76.66666666666667,102.66666666666667,64.66666666666667,1.0,1.6666666666666667,2.6666666666666665,2.0,3.0,7.666666666666667,10.666666666666666,7.333333333333333,0.5526333333333333,0.9473666666666668,1.3099999999999998,0.9447333333333333,45.870000000000005,112.21666666666665,143.815076,117.90840933333334,0.0,0.6233333333333335,1.1833333333333333,1.4800000000000002,0.0,1.3333333333333333,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,-0.02666666666666669,0.22666666666666666,0.2133333333333333,0.0,-4.6000000000000005,-2.6714066666666674,-4.671406666666667,10.5376,16.014,33.9844,23.212,56.5,87.0,154.0,97.0,1.0,2.0,4.0,3.0,5.0,15.0,20.0,15.0,0.5477,1.1473,1.9649999999999999,1.4171,41.425000000000004,155.375,215.72261400000002,176.862614,0.0,1.1800000000000004,1.7750000000000001,2.22,0.0,2.5,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,-0.050000000000000044,0.33999999999999997,0.31999999999999995,0.0,-8.850000000000001,-4.007110000000001,-7.007110000000001,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.2562499999999999,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.95,-3.5035550000000004,-6.503555,9.2416,23.256,47.363200000000006,28.88,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000001,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.2562499999999999,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.95,-3.5035550000000004,-6.503555,9.2416,23.256,47.363200000000006,28.88,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000001,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.2562499999999999,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.95,-3.5035550000000004,-6.503555,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.2562499999999999,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.95,-3.5035550000000004,-6.503555,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
10.1056,14.253066666666667,22.656266666666667,15.474666666666666,54.0,76.66666666666667,102.66666666666667,64.66666666666667,1.0,1.6666666666666667,2.6666666666666665,2.0,3.0,7.666666666666667,10.666666666666666,7.333333333333333,0.5526333333333333,0.9473666666666668,1.3099999999999998,0.9447333333333333,45.870000000000005,112.21666666666665,143.815076,117.90840933333334,0.0,0.6233333333333335,1.1833333333333333,1.4800000000000002,0.0,1.3333333333333333,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,-0.02666666666666669,0.22666666666666666,0.2133333333333333,0.0,-4.6000000000000005,-2.6714066666666674,-4.671406666666667,10.5376,16.014,33.984399999999994,23.212,56.5,87.0,154.0,97.0,1.0,2.0,4.0,3.0,5.0,15.0,20.0,15.0,0.5477,1.1473,1.9649999999999999,1.4171,41.425000000000004,155.375,215.72261400000002,176.862614,0.0,1.1800000000000004,1.7750000000000001,2.22,0.0,2.5,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,-0.050000000000000044,0.33999999999999997,0.31999999999999995,0.0,-8.850000000000001,-4.007110000000001,-7.007110000000001,RUVBOB_clean_primitive
10.5376,12.8828,22.1436,15.991999999999999,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,7.0,0.5477,0.8510500000000001,1.25625,0.9896,41.425000000000004,99.13499999999999,129.85630700000002,118.376307,0.0,0.6900000000000002,1.11,1.5550000000000002,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.0,0.0,-0.030000000000000027,0.15999999999999998,0.13999999999999996,0.0,-4.950000000000001,-3.5035550000000004,-6.503555,9.2416,23.256,47.3632,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,RUVBOB_clean_primitive
