f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
66.7387,100.5856,168.34279999999998,168.8352,1267.0,1760.0,2276.0,2784.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.6576,13.8408,17.583599999999997,19.447200000000002,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.5904,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.8796,13.9868,17.8356,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.5904,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.8356,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.5904,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.8356,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.5904,167.409,162.8496,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.8796,13.9868,17.835600000000003,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.59039999999999,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.8796,13.9868,17.8356,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
66.7387,100.5856,168.3428,168.8352,1267.0,1760.0,2276.0,2784.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.657599999999999,13.8408,17.5836,19.4472,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.59039999999999,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.8356,19.8852,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
66.7387,100.5856,168.34279999999998,168.8352,1267.0,1760.0,2276.0,2784.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.657599999999999,13.8408,17.5836,19.4472,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
66.7387,100.5856,168.34279999999998,168.8352,1267.0,1760.0,2276.0,2784.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.657599999999999,13.8408,17.5836,19.4472,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.5904,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.8356,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
66.73870000000001,100.5856,168.34279999999998,168.83520000000001,1267.0,1760.0,2276.0,2784.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.657599999999999,13.8408,17.5836,19.447200000000002,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.59039999999999,167.409,162.84959999999998,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.835600000000003,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
65.5526,98.59039999999999,167.409,162.8496,1238.0,1744.0,2250.0,2736.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,8.879599999999998,13.9868,17.835600000000003,19.885199999999998,2.5921000000000016,22.153599999999997,12.858533333333336,66.46080000000005,169.0,416.0,745.3333333333334,1248.0,1.0,4.0,4.0,12.0,16.0,32.0,64.0,96.0,1.587600000000001,3.6791999999999994,5.6784,11.0376,0.0,-7.319999999999996,-1.5466666666666657,-21.959999999999983,0.0,20.0,-5.333333333333333,60.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,2.1199999999999997,0.5333333333333333,6.360000000000002,YIZGEV_clean_primitive
