f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2547999999999995,6.795000000000001,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.2096,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733000000000004,5.7458,5.745,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733000000000004,5.7458,5.745,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733000000000004,5.7458,5.745000000000001,0.0,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.254800000000001,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.308899999999994,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733000000000004,5.7458,5.745000000000001,0.0,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
48.3089,97.6776,113.20960000000001,26.752000000000002,233.0,474.0,490.0,28.0,6.0,12.0,14.0,4.0,26.0,54.0,56.0,8.0,2.9798,6.2548,6.795,1.1099999999999999,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
40.7298,80.9794,80.4992,0.0,219.0,436.0,434.0,0.0,5.0,10.0,10.0,0.0,20.0,40.0,40.0,0.0,2.8733,5.745800000000001,5.745000000000001,0.0,VEMHIF
