f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
36.6722,83.18099999999998,23.667199999999998,0.0,200.0,456.0,128.0,0.0,4.0,10.0,2.0,0.0,26.0,66.0,8.0,0.0,2.2516,5.682600000000001,1.0657999999999999,0.0,HIQKID
83.0244,131.63099999999997,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000001,11.2792,9.256800000000002,HIQKID
36.6722,83.18099999999998,23.667199999999998,0.0,200.0,456.0,128.0,0.0,4.0,10.0,2.0,0.0,26.0,66.0,8.0,0.0,2.2516,5.682600000000001,1.0657999999999999,0.0,HIQKID
83.0244,131.63099999999997,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000001,11.2792,9.2568,HIQKID
83.0244,131.63099999999997,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000001,11.279200000000003,9.2568,HIQKID
83.0244,131.63099999999997,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.279200000000001,9.2568,HIQKID
83.0244,131.631,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.279200000000001,9.2568,HIQKID
23.667199999999998,23.667199999999998,0.0,0.0,128.0,128.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0657999999999999,1.0657999999999999,0.0,0.0,HIQKID
83.0244,131.63099999999997,188.4004,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.279200000000001,9.2568,HIQKID
83.0244,131.63099999999997,188.40039999999993,175.84499999999997,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.2792,9.2568,HIQKID
83.0244,131.63099999999997,188.40039999999993,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000003,11.2792,9.2568,HIQKID
83.0244,131.63099999999997,188.40039999999993,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000003,11.2792,9.2568,HIQKID
83.0244,131.63099999999997,188.4004,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.777,9.1938,11.279200000000001,9.2568,HIQKID
23.667199999999998,23.667199999999998,0.0,0.0,128.0,128.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0657999999999999,1.0657999999999999,0.0,0.0,HIQKID
