lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.433600000000002,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.005,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.005,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.433600000000002,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.005,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.005,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
9.2416,15.504,30.440533333333335,33.875733333333336,49.0,84.0,135.33333333333334,163.33333333333334,1.0,2.0,4.0,4.333333333333333,4.0,12.0,19.333333333333332,22.0,0.5625,1.155,2.0050000000000003,2.2925,54.76000000000001,167.24,274.592614,309.60174266666667,0.0,0.9800000000000004,2.146666666666667,2.0300000000000007,0.0,2.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-2.3333333333333335,0.0,-0.040000000000000036,0.3266666666666666,0.19333333333333327,0.0,-7.800000000000001,-7.507110000000001,-9.77140666666667,9.2416,15.504,31.4336,23.256,49.0,84.0,140.0,126.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5625,1.155,1.995,1.7325,54.760000000000005,167.24,255.35261400000002,250.86,0.0,0.9800000000000004,1.8200000000000003,1.4700000000000006,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.33999999999999997,-0.06000000000000005,0.0,-7.800000000000001,-4.90711,-11.700000000000001,HADQUA_clean_primitive
