lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.98575999999999,25.168319999999994,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.27934,1.5787,33.42399999999999,81.35999999999999,130.2035684,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000003,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.98575999999999,25.168319999999994,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.27934,1.5787,33.42399999999999,81.35999999999999,130.2035684,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000003,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.98575999999999,25.168319999999994,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.27934,1.5787,33.42399999999999,81.35999999999999,130.2035684,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000003,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.98575999999999,25.168319999999994,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.27934,1.5787,33.42399999999999,81.35999999999999,130.2035684,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000003,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.98575999999999,25.168319999999994,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.27934,1.5787,33.42399999999999,81.35999999999999,130.2035684,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000003,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
11.3152,10.118399999999998,22.985759999999992,25.168319999999987,61.0,55.2,107.4,125.4,1.0,1.2,2.6,3.0,1.6,5.2,7.6,10.2,0.5388199999999999,0.6806800000000001,1.2793400000000001,1.5787,33.42399999999999,81.35999999999999,130.20356840000002,177.52104559999998,0.0,0.9080000000000004,1.5900000000000005,2.3120000000000007,0.0,2.0,6.0,6.8,0.0,0.0,0.0,0.0,0.0,-2.2,-2.0,-4.2,0.0,-0.040000000000000036,0.18,0.06399999999999992,0.0,-6.36,-5.824266,-12.402844,11.833599999999999,13.157999999999998,31.028799999999997,33.884,64.0,72.0,136.0,152.0,1.0,1.5,3.5,4.0,2.5,8.5,13.0,17.0,0.5328999999999999,0.8431500000000001,1.6607500000000002,1.9564000000000004,28.09,89.83500000000001,157.71268300000003,203.557683,0.0,1.3350000000000002,3.0200000000000005,3.9100000000000006,0.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-3.0,0.0,-0.06000000000000005,0.2799999999999999,0.23999999999999988,0.0,-9.000000000000002,-11.207110000000002,-17.207110000000004,OWUWOU_clean_primitive
