lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.88,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000001,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.1056,14.253066666666667,22.656266666666667,17.596,54.0,76.66666666666667,102.66666666666667,54.0,1.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,3.0,7.666666666666667,11.0,7.0,0.5526333333333333,0.9473666666666668,1.31,0.9374333333333333,45.870000000000005,112.21666666666665,143.815076,113.870198,0.0,0.6233333333333335,1.1833333333333333,2.01,0.0,1.3333333333333333,5.333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.6666666666666667,-0.6666666666666666,0.0,-0.02666666666666669,0.22666666666666666,0.4666666666666666,0.0,-4.6000000000000005,-2.6714066666666674,-2.1428133333333337,10.5376,16.014,33.9844,26.394,56.5,87.0,154.0,81.0,1.0,2.0,4.0,3.5,5.0,15.0,20.5,14.5,0.5477,1.1473,1.9649999999999999,1.40615,41.425000000000004,155.375,215.72261400000002,170.805297,0.0,1.1800000000000004,1.7750000000000001,3.0149999999999997,0.0,2.5,8.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.5,1.0,0.0,-0.050000000000000044,0.33999999999999997,0.7,0.0,-8.850000000000001,-4.007110000000001,-3.2142200000000005,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.1056,14.253066666666667,22.656266666666664,17.596,54.0,76.66666666666667,102.66666666666667,54.0,1.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,3.0,7.666666666666667,11.0,7.0,0.5526333333333333,0.9473666666666668,1.3099999999999998,0.9374333333333333,45.870000000000005,112.21666666666665,143.815076,113.870198,0.0,0.6233333333333335,1.1833333333333333,2.01,0.0,1.3333333333333333,5.333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.6666666666666667,-0.6666666666666666,0.0,-0.02666666666666669,0.22666666666666666,0.4666666666666666,0.0,-4.6000000000000005,-2.6714066666666674,-2.1428133333333337,10.5376,16.014,33.9844,26.394000000000002,56.5,87.0,154.0,81.0,1.0,2.0,4.0,3.5,5.0,15.0,20.5,14.5,0.5477,1.1473,1.9649999999999999,1.40615,41.425000000000004,155.375,215.72261400000002,170.80529700000002,0.0,1.1800000000000004,1.7750000000000001,3.0149999999999997,0.0,2.5,8.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.5,1.0,0.0,-0.050000000000000044,0.33999999999999997,0.7,0.0,-8.850000000000001,-4.007110000000001,-3.2142200000000005,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.25625,0.97865,41.425,99.13499999999999,129.85630700000002,112.31899000000001,0.0,0.6900000000000002,1.11,2.35,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.5199999999999999,0.0,-4.950000000000001,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.3632,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.25625,0.97865,41.425,99.13499999999999,129.85630700000002,112.31899000000001,0.0,0.6900000000000002,1.11,2.35,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.5199999999999999,0.0,-4.950000000000001,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.3632,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.880000000000003,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000004,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
10.5376,12.8828,22.1436,19.174,56.5,69.5,105.0,56.5,1.0,1.5,2.5,2.5,2.5,6.5,9.5,6.5,0.5477,0.8510500000000001,1.2562499999999999,0.97865,41.425000000000004,99.13499999999999,129.85630700000002,112.31899,0.0,0.6900000000000002,1.11,2.3499999999999996,0.0,1.5,4.5,11.5,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0,-1.0,0.0,-0.030000000000000027,0.15999999999999998,0.52,0.0,-4.95,-3.5035550000000004,-2.7106650000000005,9.2416,23.256,47.363200000000006,28.88,49.0,126.0,196.0,98.0,1.0,3.0,6.0,4.0,9.0,27.0,36.0,24.0,0.5625,1.7325,2.835,1.71,54.760000000000005,250.86,343.465228,233.94522800000001,0.0,1.4700000000000006,2.66,2.66,0.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-0.06000000000000005,0.72,0.72,0.0,-11.700000000000001,-2.01422,-2.01422,ZOZPUB_clean_primitive
