lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
9.245,10.965,25.3958,21.9687,160.0,120.0,176.0,320.0,1.0,1.5,3.5,3.0,2.5,8.5,11.0,14.0,0.7866499999999998,1.0664500000000001,1.8990000000000005,2.2604000000000006,202.22499999999994,249.16500000000005,394.36690100000004,576.8999999999999,0.0,0.4750000000000003,1.0450000000000002,0.9350000000000005,0.0,11.0,33.5,17.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5,-3.5,0.0,0.22999999999999998,1.205,0.33499999999999996,0.0,5.099999999999998,27.439334999999993,6.149999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IJENER_clean_primitive
