lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
9.2416,16.497066666666665,32.99413333333333,71.38933333333334,49.0,88.66666666666667,177.33333333333334,289.3333333333333,1.0,2.0,4.0,9.666666666666666,4.0,12.0,36.666666666666664,94.66666666666667,0.5625,1.145,2.29,4.5825,54.76000000000001,148.0,296.0,640.7687133333334,0.0,0.6533333333333337,1.3066666666666673,5.903333333333333,0.0,1.3333333333333333,2.6666666666666665,26.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.0,-10.333333333333334,-28.0,0.0,-0.02666666666666669,-0.05333333333333338,1.14,0.0,-5.2,-10.4,-15.057033333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,32.99413333333333,61.053333333333335,49.0,88.66666666666667,177.33333333333334,233.33333333333334,1.0,2.0,4.0,8.333333333333334,4.0,12.0,34.0,80.0,0.5625,1.145,2.2900000000000005,3.8124999999999996,54.76000000000001,148.0,296.0,529.27538,0.0,0.6533333333333337,1.3066666666666673,5.250000000000001,0.0,1.3333333333333333,2.6666666666666665,25.0,0.0,0.0,0.0,0.0,0.0,-2.0,-9.0,-23.333333333333332,0.0,-0.02666666666666669,-0.05333333333333338,1.1666666666666665,0.0,-5.2,-10.4,-9.857033333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,27.82613333333333,34.75733333333333,49.0,88.66666666666667,149.33333333333334,149.33333333333334,1.0,2.0,3.3333333333333335,4.666666666666667,4.0,10.666666666666666,20.0,29.333333333333332,0.5625,1.1450000000000002,1.9050000000000002,2.2950000000000004,54.76000000000001,148.0,240.25333333333333,323.2034853333334,0.0,0.6533333333333337,0.9800000000000004,2.753333333333334,0.0,1.3333333333333333,2.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-3.3333333333333335,-5.333333333333333,0.0,-0.02666666666666669,-0.040000000000000036,0.43999999999999995,0.0,-5.2,-7.800000000000001,-9.142813333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,32.99413333333333,71.38933333333334,49.0,88.66666666666667,177.33333333333334,289.3333333333333,1.0,2.0,4.0,9.666666666666666,4.0,12.0,36.666666666666664,94.66666666666667,0.5625,1.145,2.29,4.5825,54.76000000000001,148.0,296.0,640.7687133333334,0.0,0.6533333333333337,1.3066666666666673,5.903333333333333,0.0,1.3333333333333333,2.6666666666666665,26.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.0,-10.333333333333334,-28.0,0.0,-0.02666666666666669,-0.05333333333333338,1.14,0.0,-5.2,-10.4,-15.057033333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,32.99413333333333,61.053333333333335,49.0,88.66666666666667,177.33333333333334,233.33333333333334,1.0,2.0,4.0,8.333333333333334,4.0,12.0,34.0,80.0,0.5625,1.145,2.2900000000000005,3.8124999999999996,54.76000000000001,148.0,296.0,529.27538,0.0,0.6533333333333337,1.3066666666666673,5.250000000000001,0.0,1.3333333333333333,2.6666666666666665,25.0,0.0,0.0,0.0,0.0,0.0,-2.0,-9.0,-23.333333333333332,0.0,-0.02666666666666669,-0.05333333333333338,1.1666666666666665,0.0,-5.2,-10.4,-9.857033333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.9936,24.7456,29.944000000000003,49.0,91.0,133.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,18.0,26.0,0.5625,1.1400000000000001,1.7175,2.01,54.760000000000005,138.38,222.0,284.21261400000003,0.0,0.4900000000000002,0.9800000000000004,2.3100000000000005,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-5.0,0.0,-0.020000000000000018,-0.040000000000000036,0.31999999999999995,0.0,-3.9000000000000004,-7.800000000000001,-8.807110000000002,9.2416,15.504,33.9872,44.384,49.0,84.0,182.0,182.0,1.0,2.0,4.0,6.0,4.0,12.0,24.0,36.0,0.5625,1.155,2.2800000000000002,2.865,54.760000000000005,167.24,276.76,401.18522800000005,0.0,0.9800000000000004,0.9800000000000004,3.6400000000000006,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,0.0,-0.040000000000000036,-0.040000000000000036,0.6799999999999999,0.0,-7.800000000000001,-7.800000000000001,-9.814220000000002,SAXLOU
9.2416,16.497066666666665,32.99413333333333,61.05333333333334,49.0,88.66666666666667,177.33333333333334,233.33333333333334,1.0,2.0,4.0,8.333333333333334,4.0,12.0,34.0,80.0,0.5625,1.1450000000000002,2.2900000000000005,3.8125,54.76000000000001,148.0,296.0,529.27538,0.0,0.6533333333333337,1.3066666666666673,5.250000000000001,0.0,1.3333333333333333,2.6666666666666665,25.0,0.0,0.0,0.0,0.0,0.0,-2.0,-9.0,-23.333333333333332,0.0,-0.02666666666666669,-0.05333333333333338,1.1666666666666665,0.0,-5.2,-10.4,-9.857033333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,32.99413333333333,71.38933333333334,49.0,88.66666666666667,177.33333333333334,289.3333333333333,1.0,2.0,4.0,9.666666666666666,4.0,12.0,36.666666666666664,94.66666666666667,0.5625,1.145,2.29,4.5825,54.76000000000001,148.0,296.0,640.7687133333334,0.0,0.6533333333333337,1.3066666666666673,5.903333333333333,0.0,1.3333333333333333,2.6666666666666665,26.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.0,-10.333333333333334,-28.0,0.0,-0.02666666666666669,-0.05333333333333338,1.14,0.0,-5.2,-10.4,-15.057033333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,27.82613333333333,34.75733333333334,49.0,88.66666666666667,149.33333333333334,149.33333333333334,1.0,2.0,3.3333333333333335,4.666666666666667,4.0,10.666666666666666,20.0,29.333333333333332,0.5625,1.1450000000000002,1.9050000000000002,2.295,54.76000000000001,148.0,240.25333333333333,323.2034853333334,0.0,0.6533333333333337,0.9800000000000004,2.753333333333334,0.0,1.3333333333333333,2.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-3.3333333333333335,-5.333333333333333,0.0,-0.02666666666666669,-0.040000000000000036,0.43999999999999995,0.0,-5.2,-7.800000000000001,-9.142813333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.9936,24.7456,29.944000000000003,49.0,91.0,133.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,18.0,26.0,0.5625,1.1400000000000001,1.7175000000000002,2.01,54.760000000000005,138.38,222.0,284.21261400000003,0.0,0.4900000000000002,0.9800000000000004,2.3100000000000005,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-5.0,0.0,-0.020000000000000018,-0.040000000000000036,0.31999999999999995,0.0,-3.9000000000000004,-7.800000000000001,-8.807110000000002,9.2416,15.504,33.9872,44.38400000000001,49.0,84.0,182.0,182.0,1.0,2.0,4.0,6.0,4.0,12.0,24.0,36.0,0.5625,1.155,2.2800000000000002,2.865,54.760000000000005,167.24,276.76,401.18522800000005,0.0,0.9800000000000004,0.9800000000000004,3.6400000000000006,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,0.0,-0.040000000000000036,-0.040000000000000036,0.6799999999999999,0.0,-7.800000000000001,-7.800000000000001,-9.81422,SAXLOU
9.2416,16.497066666666665,27.82613333333333,34.75733333333333,49.0,88.66666666666667,149.33333333333334,149.33333333333334,1.0,2.0,3.3333333333333335,4.666666666666667,4.0,10.666666666666666,20.0,29.333333333333332,0.5625,1.1450000000000002,1.9050000000000002,2.2950000000000004,54.76000000000001,148.0,240.25333333333333,323.2034853333334,0.0,0.6533333333333337,0.9800000000000004,2.753333333333334,0.0,1.3333333333333333,2.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-3.3333333333333335,-5.333333333333333,0.0,-0.02666666666666669,-0.040000000000000036,0.43999999999999995,0.0,-5.2,-7.800000000000001,-9.142813333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.9936,24.7456,29.944000000000003,49.0,91.0,133.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,18.0,26.0,0.5625,1.1400000000000001,1.7175000000000002,2.01,54.760000000000005,138.38,222.0,284.21261400000003,0.0,0.4900000000000002,0.9800000000000004,2.3100000000000005,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-5.0,0.0,-0.020000000000000018,-0.040000000000000036,0.31999999999999995,0.0,-3.9000000000000004,-7.800000000000001,-8.807110000000002,9.2416,15.504,33.9872,44.38400000000001,49.0,84.0,182.0,182.0,1.0,2.0,4.0,6.0,4.0,12.0,24.0,36.0,0.5625,1.155,2.2800000000000002,2.865,54.760000000000005,167.24,276.76,401.18522800000005,0.0,0.9800000000000004,0.9800000000000004,3.6400000000000006,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,0.0,-0.040000000000000036,-0.040000000000000036,0.6799999999999999,0.0,-7.800000000000001,-7.800000000000001,-9.81422,SAXLOU
9.2416,16.497066666666665,32.99413333333333,71.38933333333334,49.0,88.66666666666667,177.33333333333334,289.3333333333333,1.0,2.0,4.0,9.666666666666666,4.0,12.0,36.666666666666664,94.66666666666667,0.5625,1.145,2.29,4.5825,54.76000000000001,148.0,296.0,640.7687133333334,0.0,0.6533333333333337,1.3066666666666673,5.903333333333333,0.0,1.3333333333333333,2.6666666666666665,26.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.0,-10.333333333333334,-28.0,0.0,-0.02666666666666669,-0.05333333333333338,1.14,0.0,-5.2,-10.4,-15.057033333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
9.2416,16.497066666666665,32.99413333333333,61.053333333333335,49.0,88.66666666666667,177.33333333333334,233.33333333333334,1.0,2.0,4.0,8.333333333333334,4.0,12.0,34.0,80.0,0.5625,1.145,2.2900000000000005,3.8124999999999996,54.76000000000001,148.0,296.0,529.27538,0.0,0.6533333333333337,1.3066666666666673,5.250000000000001,0.0,1.3333333333333333,2.6666666666666665,25.0,0.0,0.0,0.0,0.0,0.0,-2.0,-9.0,-23.333333333333332,0.0,-0.02666666666666669,-0.05333333333333338,1.1666666666666665,0.0,-5.2,-10.4,-9.857033333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAXLOU
