lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
11.833599999999999,10.4576,23.667199999999998,0.0,64.0,56.0,128.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5328999999999999,0.5475,1.0657999999999999,0.0,28.09,39.22,56.18,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-2.1000000000000005,0.0,0.0,10.5376,20.9152,11.833599999999999,0.0,56.5,112.0,64.0,0.0,1.0,2.0,1.0,0.0,5.0,6.0,1.0,0.0,0.5477,1.095,0.5328999999999999,0.0,41.425000000000004,78.44,28.09,0.0,0.0,-0.3999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,2.1000000000000005,0.0,0.0,ROSCAD
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
11.833599999999999,10.4576,23.667199999999998,0.0,64.0,56.0,128.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5328999999999999,0.5475,1.0657999999999999,0.0,28.09,39.22,56.18,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-2.1000000000000005,0.0,0.0,10.9696,17.429333333333332,15.778133333333331,0.0,59.0,93.33333333333333,85.33333333333333,0.0,1.0,1.6666666666666667,1.3333333333333333,0.0,3.6666666666666665,5.0,1.3333333333333333,0.0,0.5427666666666666,0.9125,0.7105333333333332,0.0,36.980000000000004,65.36666666666666,37.45333333333333,0.0,0.0,-0.1333333333333333,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.006666666666666672,0.0,0.0,0.0,0.7000000000000002,0.0,0.0,ROSCAD
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
11.833599999999999,10.4576,23.667199999999998,0.0,64.0,56.0,128.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5328999999999999,0.5475,1.0657999999999999,0.0,28.09,39.22,56.18,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-2.1000000000000005,0.0,0.0,10.5376,20.9152,11.833599999999999,0.0,56.5,112.0,64.0,0.0,1.0,2.0,1.0,0.0,5.0,6.0,1.0,0.0,0.5477,1.095,0.5328999999999999,0.0,41.425000000000004,78.44,28.09,0.0,0.0,-0.3999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,2.1000000000000005,0.0,0.0,ROSCAD
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
9.2416,15.504,28.880000000000003,22.192,49.0,84.0,98.0,91.0,1.0,2.0,4.0,3.0,4.0,12.0,16.0,14.0,0.5625,1.155,1.71,1.4325,54.760000000000005,167.24,233.94522800000004,200.59261400000003,0.0,0.9800000000000004,2.66,1.8200000000000003,0.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-0.040000000000000036,0.72,0.33999999999999997,0.0,-7.800000000000001,-2.01422,-4.90711,9.2416,16.9936,22.192,29.944000000000003,49.0,91.0,91.0,133.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,20.0,0.5625,1.1400000000000001,1.4325,2.01,54.760000000000005,138.38,200.59261400000003,284.21261400000003,0.0,0.4900000000000002,1.8200000000000003,2.3100000000000005,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,0.33999999999999997,0.31999999999999995,0.0,-3.9000000000000004,-4.90711,-8.807110000000002,ROSCAD
11.833599999999999,10.4576,23.667199999999998,0.0,64.0,56.0,128.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5328999999999999,0.5475,1.0657999999999999,0.0,28.09,39.22,56.18,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-2.1000000000000005,0.0,0.0,10.9696,17.429333333333332,15.778133333333331,0.0,59.0,93.33333333333333,85.33333333333333,0.0,1.0,1.6666666666666667,1.3333333333333333,0.0,3.6666666666666665,5.0,1.3333333333333333,0.0,0.5427666666666666,0.9125,0.7105333333333332,0.0,36.980000000000004,65.36666666666666,37.45333333333333,0.0,0.0,-0.1333333333333333,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.006666666666666672,0.0,0.0,0.0,0.7000000000000002,0.0,0.0,ROSCAD
