CAXTAY_clean_primitive, Anchors list: {10, 7}, SBU connectlist: {10, 7}
CAXTAY_clean_primitive, Anchors list: {11, 6}, SBU connectlist: {11, 6}
CAXTAY_clean_primitive, Anchors list: {3, 7}, SBU connectlist: {3, 7}
CAXTAY_clean_primitive, Anchors list: {2, 6}, SBU connectlist: {2, 6}
CAXTAY_clean_primitive, Anchors list: {10, 11}, SBU connectlist: {10, 11}
CAXTAY_clean_primitive, Anchors list: {9, 5}, SBU connectlist: {9, 5}
CAXTAY_clean_primitive, Anchors list: {0, 1}, SBU connectlist: {0, 1}
CAXTAY_clean_primitive, Anchors list: {1, 5}, SBU connectlist: {1, 5}
CAXTAY_clean_primitive, Anchors list: {0, 4}, SBU connectlist: {0, 4}
CAXTAY_clean_primitive, Anchors list: {8, 3}, SBU connectlist: {8, 3}
CAXTAY_clean_primitive, Anchors list: {11, 6}, SBU connectlist: {11, 6}
CAXTAY_clean_primitive, Anchors list: {10, 7}, SBU connectlist: {10, 7}
CAXTAY_clean_primitive, Anchors list: {9, 5}, SBU connectlist: {9, 5}
CAXTAY_clean_primitive, Anchors list: {8, 4}, SBU connectlist: {8, 4}
CAXTAY_clean_primitive, Anchors list: {8, 4}, SBU connectlist: {8, 4}
CAXTAY_clean_primitive, Anchors list: {10, 11}, SBU connectlist: {10, 11}
CAXTAY_clean_primitive, Anchors list: {0, 1}, SBU connectlist: {0, 1}
CAXTAY_clean_primitive, Anchors list: {9, 2}, SBU connectlist: {9, 2}
CAXTAY_clean_primitive, Anchors list: {3, 7}, SBU connectlist: {3, 7}
CAXTAY_clean_primitive, Anchors list: {2, 6}, SBU connectlist: {2, 6}
CAXTAY_clean_primitive, Anchors list: {1, 5}, SBU connectlist: {1, 5}
CAXTAY_clean_primitive, Anchors list: {0, 4}, SBU connectlist: {0, 4}
CAXTAY_clean_primitive, Anchors list: {8, 3}, SBU connectlist: {8, 3}
CAXTAY_clean_primitive, Anchors list: {9, 2}, SBU connectlist: {9, 2}
