f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
118.7144,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.422399999999999,16.262400000000003,23.04480000000001,24.679399999999998,PIJJOI_clean_primitive
118.71440000000001,219.096,337.32040000000006,385.38700000000006,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.422399999999999,16.2624,23.044800000000006,24.679399999999998,PIJJOI_clean_primitive
169.75140000000002,377.4194000000001,616.09,642.5639999999997,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000001,25.48980000000001,38.090800000000016,40.386,PIJJOI_clean_primitive
169.75140000000002,377.41940000000005,616.0900000000001,642.5639999999999,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000001,25.48980000000001,38.090800000000016,40.386,PIJJOI_clean_primitive
118.7144,219.09600000000006,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.044800000000006,24.6794,PIJJOI_clean_primitive
118.7144,219.096,337.3204,385.38700000000006,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.044800000000006,24.679399999999998,PIJJOI_clean_primitive
169.75140000000002,377.4194,616.0899999999999,642.564,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000003,25.489800000000006,38.09080000000001,40.386,PIJJOI_clean_primitive
169.75140000000002,377.4194,616.0899999999999,642.564,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000003,25.489800000000006,38.09080000000001,40.386,PIJJOI_clean_primitive
118.7144,219.096,337.3204,385.38699999999994,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000007,23.044800000000002,24.679399999999994,PIJJOI_clean_primitive
118.71440000000001,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.422399999999999,16.262400000000007,23.044800000000006,24.6794,PIJJOI_clean_primitive
118.71440000000001,219.096,337.32039999999995,385.38699999999994,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.422399999999999,16.262400000000003,23.044800000000002,24.6794,PIJJOI_clean_primitive
118.71440000000001,219.096,337.32039999999995,385.38699999999994,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.0448,24.6794,PIJJOI_clean_primitive
169.75140000000005,377.4194000000001,616.0900000000001,642.5640000000001,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000005,25.489800000000006,38.09080000000001,40.385999999999996,PIJJOI_clean_primitive
169.75140000000005,377.4194000000001,616.0900000000001,642.5640000000001,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.095600000000005,25.489800000000006,38.09080000000001,40.385999999999996,PIJJOI_clean_primitive
169.75140000000002,377.41940000000005,616.0900000000003,642.564,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.0956,25.48980000000001,38.09080000000001,40.386,PIJJOI_clean_primitive
169.75140000000002,377.4194000000001,616.0900000000003,642.564,570.0,1352.0,1948.0,1920.0,28.0,58.0,100.0,100.0,158.0,378.0,520.0,576.0,10.0956,25.48980000000001,38.090800000000016,40.38600000000001,PIJJOI_clean_primitive
