f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
103.17009999999999,182.42699999999996,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244,18.226599999999998,15.8838,UFASEA
103.17009999999999,182.42699999999996,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244,18.226599999999998,15.8838,UFASEA
103.1701,182.427,276.7815999999999,246.29979999999998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244,18.2266,15.8838,UFASEA
103.1701,182.427,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244,18.2266,15.8838,UFASEA
103.17009999999999,182.42699999999996,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.243999999999998,18.2266,15.883799999999999,UFASEA
103.1701,182.42699999999996,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.243999999999998,18.2266,15.883799999999999,UFASEA
122.22820000000002,268.82099999999997,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000007,28.97160000000001,UFASEA
122.22820000000002,268.82099999999997,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000007,28.97160000000001,UFASEA
122.22820000000002,268.82099999999997,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
122.22820000000002,268.82099999999997,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
122.22820000000002,268.821,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
122.22820000000002,268.821,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
103.17009999999999,182.42699999999996,276.7815999999999,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244000000000002,18.2266,15.8838,UFASEA
103.17009999999999,182.42699999999996,276.7815999999999,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244000000000002,18.2266,15.8838,UFASEA
103.1701,182.42699999999994,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244000000000002,18.2266,15.883799999999999,UFASEA
103.1701,182.427,276.78159999999997,246.2998,535.0,948.0,1390.0,1240.0,12.0,24.0,34.0,30.0,58.0,132.0,164.0,130.0,6.358,13.244000000000002,18.2266,15.883799999999999,UFASEA
122.2282,268.821,406.22,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
122.2282,268.821,406.22,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.8506,27.907200000000003,28.97160000000001,UFASEA
