f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
130.548,240.55599999999995,361.18839999999994,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000006,24.723399999999998,27.748600000000007,WURKEB_clean_primitive
130.548,240.55599999999995,361.1883999999999,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000006,24.723399999999998,27.748600000000007,WURKEB_clean_primitive
130.54800000000003,240.55599999999998,361.18839999999994,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357,24.723400000000005,27.74860000000001,WURKEB_clean_primitive
130.54800000000003,240.55599999999998,361.1884,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357,24.723399999999998,27.748600000000003,WURKEB_clean_primitive
130.548,240.55599999999998,361.18839999999994,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.955299999999999,17.357000000000003,24.723400000000005,27.748600000000003,WURKEB_clean_primitive
130.548,240.556,361.1884,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.955299999999999,17.357000000000003,24.723400000000005,27.7486,WURKEB_clean_primitive
130.548,240.55599999999998,361.1884,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.955299999999999,17.357000000000003,24.723400000000005,27.7486,WURKEB_clean_primitive
130.548,240.55599999999998,361.1884,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9553,17.357000000000003,24.723400000000005,27.7486,WURKEB_clean_primitive
130.54800000000003,240.55599999999998,361.1883999999999,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000003,24.723399999999998,27.748600000000003,WURKEB_clean_primitive
130.548,240.55599999999995,361.18839999999994,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000003,24.723399999999998,27.748600000000003,WURKEB_clean_primitive
130.548,240.556,361.1884,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.955299999999999,17.357000000000003,24.723400000000005,27.748600000000003,WURKEB_clean_primitive
130.548,240.556,361.1884,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.955299999999999,17.357000000000003,24.723400000000005,27.748600000000003,WURKEB_clean_primitive
130.548,240.55599999999998,361.18839999999994,432.25499999999994,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000003,24.723400000000005,27.748599999999996,WURKEB_clean_primitive
130.548,240.556,361.18839999999994,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9552999999999985,17.357000000000006,24.7234,27.748600000000003,WURKEB_clean_primitive
130.548,240.55599999999995,361.18839999999994,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9553,17.357000000000003,24.723400000000005,27.7486,WURKEB_clean_primitive
130.548,240.55599999999995,361.18839999999994,432.255,612.0,1108.0,1636.0,1710.0,17.0,34.0,50.0,62.0,84.0,202.0,274.0,282.0,7.9553,17.357000000000003,24.723400000000005,27.748599999999996,WURKEB_clean_primitive
