f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.45519999999999,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.19220000000001,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999992,5.143600000000001,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.753,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6622999999999997,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.1922,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.45519999999999,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
51.19219999999999,81.75299999999999,121.4552,90.816,203.0,300.0,362.0,96.0,7.0,12.0,18.0,12.0,30.0,60.0,42.0,12.0,2.6623,5.1436,5.845,3.2412,IHOTEG_clean_primitive
