lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.0100000000000002,2.5725000000000002,54.760000000000005,167.24,284.21261400000003,338.972614,0.0,0.9800000000000004,2.3100000000000005,2.3100000000000005,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.31999999999999995,0.31999999999999995,0.0,-7.800000000000001,-8.807110000000002,-8.807110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RUYPAE
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89000000000001,87.98,119.78000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.03606153846154,15.930892307692305,19.03587692307692,21.359384615384613,59.38461538461539,85.53846153846153,103.38461538461539,107.38461538461539,1.0,1.6153846153846154,2.0,2.6153846153846154,3.4615384615384617,6.6923076923076925,8.307692307692308,13.384615384615385,0.5420076923076922,0.8947769230769229,1.1134615384615385,1.3967538461538462,36.29615384615384,78.60692307692308,112.36769230769232,170.37465046153847,0.0,0.2192307692307693,0.917692307692308,1.9430769230769234,0.0,0.46153846153846156,2.0,5.538461538461538,0.0,0.0,0.0,0.0,0.0,-0.15384615384615385,-1.3846153846153846,-2.1538461538461537,0.0,-0.009230769230769239,-0.040000000000000036,0.04307692307692301,0.0,-1.6615384615384619,-6.553846153846154,-11.017572307692308,RUYPAE
9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.0100000000000002,2.5725000000000002,54.760000000000005,167.24,284.21261400000003,338.972614,0.0,0.9800000000000004,2.3100000000000005,2.3100000000000005,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.31999999999999995,0.31999999999999995,0.0,-7.800000000000001,-8.807110000000002,-8.807110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RUYPAE
11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89000000000001,87.98,119.78000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.03606153846154,15.930892307692309,19.03587692307692,21.359384615384613,59.38461538461539,85.53846153846153,103.38461538461539,107.38461538461539,1.0,1.6153846153846154,2.0,2.6153846153846154,3.4615384615384617,6.6923076923076925,8.307692307692308,13.384615384615385,0.5420076923076922,0.8947769230769229,1.1134615384615385,1.3967538461538462,36.29615384615384,78.60692307692308,112.36769230769232,170.37465046153847,0.0,0.2192307692307693,0.917692307692308,1.943076923076924,0.0,0.46153846153846156,2.0,5.538461538461538,0.0,0.0,0.0,0.0,0.0,-0.15384615384615385,-1.3846153846153846,-2.1538461538461537,0.0,-0.009230769230769239,-0.040000000000000036,0.04307692307692301,0.0,-1.6615384615384623,-6.553846153846154,-11.017572307692308,RUYPAE
