f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
252.2851,527.6460000000002,847.4963999999999,1046.077,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.02360000000002,58.234,68.22620000000003,GUCTAB
252.28509999999997,527.6460000000001,847.4964000000002,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.234000000000016,68.22620000000003,GUCTAB
252.2851,527.6460000000002,847.4964,1046.0770000000005,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.23400000000001,68.22620000000002,GUCTAB
252.28509999999997,527.6460000000002,847.4964,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.23400000000001,68.22620000000002,GUCTAB
252.2851,527.6460000000001,847.4964,1046.0770000000005,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000008,39.023600000000016,58.23400000000001,68.22620000000002,GUCTAB
252.2851,527.6460000000001,847.4964000000001,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000008,39.02360000000001,58.234,68.22620000000002,GUCTAB
252.2851,527.6460000000001,847.4964000000001,1046.0770000000005,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.02360000000001,58.234000000000016,68.22620000000002,GUCTAB
252.28509999999997,527.6460000000002,847.4964,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.02360000000002,58.23400000000001,68.22620000000002,GUCTAB
252.2851,527.6460000000002,847.4963999999999,1046.077,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.02360000000001,58.234,68.22620000000002,GUCTAB
252.2851,527.6460000000002,847.4964,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.23400000000001,68.22620000000002,GUCTAB
252.2851,527.6460000000002,847.4964,1046.0770000000002,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.23400000000001,68.2262,GUCTAB
252.28509999999997,527.6460000000002,847.4964000000001,1046.077,1051.0,2256.0,3258.0,3424.0,38.0,80.0,128.0,166.0,208.0,520.0,752.0,852.0,16.301400000000005,39.023600000000016,58.23400000000001,68.22620000000002,GUCTAB
