f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
172.1996,380.8084000000001,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
172.1996,380.8084000000001,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
172.1996,380.8084000000001,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
172.1996,380.8084000000001,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
172.1996,380.8084000000002,567.2184000000002,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000004,27.90640000000001,39.397200000000005,41.52420000000001,KUMGIK
172.1996,380.8084000000002,567.2184000000002,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000004,27.90640000000001,39.397200000000005,41.52420000000001,KUMGIK
172.1996,380.8084000000002,567.2184000000002,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000004,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
172.1996,380.8084000000002,567.2184000000002,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000004,27.90640000000001,39.397200000000005,41.524200000000015,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
172.19960000000003,380.8084000000002,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.39720000000001,41.52420000000002,KUMGIK
172.19960000000003,380.8084000000002,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.39720000000001,41.52420000000002,KUMGIK
172.19960000000003,380.8084000000002,567.2184000000002,642.8113999999998,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585,27.90640000000001,39.39720000000001,41.524200000000015,KUMGIK
172.19960000000003,380.8084000000002,567.2184000000002,642.8113999999998,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585,27.90640000000001,39.39720000000001,41.524200000000015,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
15.7441,15.504,0.0,0.0,85.0,84.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1554,1.155,0.0,0.0,KUMGIK
172.19960000000003,380.8084000000002,567.2184000000001,642.8114,734.0,1684.0,2268.0,2276.0,26.0,56.0,84.0,98.0,140.0,340.0,464.0,466.0,11.585000000000003,27.90640000000001,39.39720000000001,41.52420000000002,KUMGIK
