f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
171.95440000000002,439.1209999999999,767.0304000000002,1006.7550000000003,559.0,1268.0,1848.0,2058.0,27.0,72.0,130.0,164.0,286.0,1046.0,1284.0,1492.0,8.9283,27.09040000000001,41.12660000000001,53.75400000000001,SAMYAJ
171.95440000000002,439.1209999999999,767.0304000000002,1006.7550000000003,559.0,1268.0,1848.0,2058.0,27.0,72.0,130.0,164.0,286.0,1046.0,1284.0,1492.0,8.9283,27.09040000000001,41.12660000000001,53.75400000000001,SAMYAJ
131.5719,250.97100000000003,427.27540000000005,544.8810000000001,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000006,25.781000000000006,31.032400000000006,SAMYAJ
131.5719,250.97100000000003,427.27540000000005,544.8810000000001,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000006,25.781000000000006,31.032400000000006,SAMYAJ
176.7944,450.341,826.6503999999999,1051.6350000000002,560.0,1280.0,1870.0,2106.0,28.0,74.0,142.0,172.0,300.0,1084.0,1356.0,1592.0,9.065199999999997,27.660200000000003,43.065400000000004,56.03320000000001,SAMYAJ
176.79440000000002,450.341,826.6503999999999,1051.6350000000002,560.0,1280.0,1870.0,2106.0,28.0,74.0,142.0,172.0,300.0,1084.0,1356.0,1592.0,9.065199999999997,27.660200000000003,43.065400000000004,56.03320000000001,SAMYAJ
131.57190000000003,250.971,427.27540000000005,544.881,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.3770999999999995,17.355800000000002,25.780999999999995,31.032400000000003,SAMYAJ
131.57190000000003,250.971,427.27540000000005,544.881,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.3770999999999995,17.355800000000002,25.780999999999995,31.032400000000003,SAMYAJ
131.5719,250.97100000000006,427.27539999999993,544.8809999999999,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000002,25.781000000000006,31.032400000000003,SAMYAJ
131.5719,250.97100000000006,427.2754,544.8809999999999,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000002,25.781000000000006,31.032400000000003,SAMYAJ
176.79440000000002,450.34100000000007,826.6504000000002,1051.6350000000004,560.0,1280.0,1870.0,2106.0,28.0,74.0,142.0,172.0,300.0,1084.0,1356.0,1592.0,9.0652,27.660200000000007,43.06540000000001,56.033200000000015,SAMYAJ
131.5719,250.97100000000006,427.27539999999993,544.8809999999999,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000002,25.781000000000002,31.032400000000003,SAMYAJ
131.5719,250.97100000000006,427.27539999999993,544.8809999999999,516.0,984.0,1444.0,1482.0,19.0,38.0,66.0,84.0,110.0,296.0,396.0,376.0,7.377099999999999,17.355800000000002,25.781000000000002,31.032400000000003,SAMYAJ
176.79440000000002,450.341,826.6504000000002,1051.6350000000004,560.0,1280.0,1870.0,2106.0,28.0,74.0,142.0,172.0,300.0,1084.0,1356.0,1592.0,9.0652,27.660200000000007,43.06540000000001,56.033200000000015,SAMYAJ
